Name,Address,City,state,zip,Phone Number,Description,latitude,longitude
Bronx Adult Learning Center(BxALC),"3450 East Tremont Avenue, Room 323",Bronx,NY,10465,718-863-4057,"Fordham, Hunts Point, Morrisania, Mott Haven, Norwood, Parkchester, Wakefield, West Bronx, West Farms, ",40.831823,-73.827662
Queens Adult Learning Center(QALC),"42-15 Crescent Street, 7th floor",Long Island City,NY,11101,718-361-9480,"Astoria, Elmhurst, Flushing, Jackson Heights, Long Island City, Sunnyside",40.750217,-73.940814
Educational Services,90-01 Sutphin Boulevard,Jamaica,NY,11435,718-557-2567,"Bellerose, Briarwood, Far Rockaway,  Glendale, Hollis, Jamaica, Kew Gardens, Laurelton, Ozone Park, Queens Village, Richmond Hill,  Ridgewood, Rochdale Village, Rockaway, Rosedale, South Jamaica, South Ozone Park, St. Albans,The entrance is on 90th Avenue -Rufus King Avenue",40.702807,-73.807983
Alternative Education Complex,500 8th Avenue,New York,NY,10018,212-868-1650,"Manhattan, below 119th Street,entrance at 269 West 35th Street, 10th floor",40.753045,-73.992397
Mid-Manhattan Adult Learning Center (MMALC),212 West 120th Street,New York,NY,10027,212-666-1919,"Manhattan, 119th Street and above",40.806155,-73.951638
P.S. 13,557 Pennsylvania Avenue,Brooklyn,NY,11216,718-240-2770,"Bay Ridge, Bensonhurst, Borough Park, Canarsie, Coney Island, Crown Heights, East Flatbush, East New York, Flatbush, Midwood, Ocean Hill- Brownsville, Sheepshead Bay, Sunset Park",40.663522,-73.893702 
Brooklyn Adult Learning Center(BALC),850 Kent Avenue,Brooklyn,NY,11205,718-789-2223,"Bedford-Stuyvesant, Bushwick, Clinton Hill, Crown Heights, East New York,  Flatbush, Fort Greene,  Greenpoint, Prospect Heights,  Ridgewood, Williamsburg",40.695472,-73.959591
Brooklyn Adult Learning Center,475 Nostrand Avenue,Brooklyn,NY,11216,718-638-2635,Bedford-Stuyvesant and Staten Island,40.681545,-73.949698
